timestamp,git_sha,machine,max_shard,repack_shard,records,cols,packs_pre,packs_post,sample,open_pre_us,open_post_us,query_pre_us,query_post_us,packs_ref_pre,packs_ref_post,segments_pre,segments_post,open_disk_pre,open_disk_post,open_syscalls_pre,open_syscalls_post,query_disk_pre,query_disk_post,query_syscalls_pre,query_syscalls_post,found_pre,found_post,repack_ms,speedup_x
2026-09-13T20:21:43+00:00,4b2852e,machine-ede6a86d2a83,32768,32768,800,20,122,122,183,3031.112,2754.395,1048.954,708.431,98,29,157,29,0,0,739,738,0,0,2,2,183,183,20.661,1.481
2026-09-13T20:21:43+00:00,4b2852e,machine-ede6a86d2a83,default,default,50000,500,3,3,533,238449.453,216610.095,4572.002,3900.589,3,1,5601,1,0,0,97153,97154,0,0,2,2,533,533,1877.714,1.172
2026-09-13T20:21:43+00:00,4b2852e,machine-ede6a86d2a83,32768,default,800,20,122,1,183,2814.97,1489.6,828.126,435.239,98,1,157,1,0,0,739,395,0,0,2,2,183,183,15.447,1.903
2026-09-13T20:22:36+00:00,21da8c2,machine-ede6a86d2a83,32768,32768,800,20,122,122,183,3014.854,2799.99,1040.749,510.402,98,29,157,29,0,0,739,738,0,0,2,2,183,183,20.378,2.039
2026-09-13T20:22:36+00:00,21da8c2,machine-ede6a86d2a83,default,default,50000,500,3,3,533,227381.996,223098.423,4607.323,3679.153,3,1,5601,1,0,0,97153,97154,0,0,2,2,533,533,1858.242,1.252
2026-09-13T20:22:36+00:00,21da8c2,machine-ede6a86d2a83,32768,default,800,20,122,1,183,2784.773,1451.553,831.166,414.465,98,1,157,1,0,0,739,395,0,0,2,2,183,183,15.339,2.005
2026-09-13T20:27:36+00:00,1cbae5e,machine-ede6a86d2a83,32768,32768,800,20,122,122,183,2845.951,2636.587,1091.291,555.206,98,29,157,29,0,0,739,738,0,0,2,2,183,183,20.144,1.966
2026-09-13T20:27:36+00:00,1cbae5e,machine-ede6a86d2a83,default,default,50000,500,3,3,533,222520.593,212002.31,3893.356,3765.054,3,1,5601,1,0,0,97153,97154,0,0,2,2,533,533,1869.204,1.034
2026-09-13T20:27:36+00:00,1cbae5e,machine-ede6a86d2a83,32768,default,800,20,122,1,183,2692.025,1456.57,785.275,414.287,98,1,157,1,0,0,739,395,0,0,2,2,183,183,15.106,1.895
2026-09-15T01:39:13+00:00,467d0eb,machine-ede6a86d2a83,32768,32768,800,20,122,122,183,849.96,736.643,570.468,29.672,98,0,157,29,0,0,132,132,0,0,2,2,183,0,19.75,19.226
2026-09-15T01:39:13+00:00,467d0eb,machine-ede6a86d2a83,default,default,50000,500,3,3,533,905.285,666.201,3040.602,67.918,3,0,5601,1,0,0,13,13,0,0,2,2,533,0,1779.603,44.769
2026-09-15T01:39:13+00:00,467d0eb,machine-ede6a86d2a83,32768,default,800,20,122,1,183,826.036,112.694,528.713,28.851,98,0,157,1,0,0,132,11,0,0,2,2,183,0,14.08,18.326
